                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2532,                 2.5859,                 1.3223,                0.75213,                0.28579,                 0.2929,                0.16368,                 1.8267,                 1.4014,                 1.0801,               0.070221,              0.0033088,              0.0033088
                      1,                 1.9617,                  1.408,                 1.0944,                0.69615,                0.39684,                0.41328,                0.23923,                 1.8114,                 1.1592,                 1.0213,               0.040177,              0.0065983,              0.0065983
                      2,                 1.9298,                  1.249,                  1.059,                0.66512,                0.50489,                0.56004,                0.31601,                 1.6563,                 1.0925,                0.99432,               0.010089,              0.0098438,              0.0098438
                      3,                 1.9405,                 1.2049,                  1.052,                0.73239,                0.47075,                0.55596,                0.31075,                 1.7412,                 1.0218,                0.99992,               0.009802,               0.009802,               0.009802
                      4,                 1.8565,                 1.1445,                 1.0303,                0.67294,                0.49644,                 0.5707,                0.33517,                 1.6484,                 1.0459,                0.99206,               0.009802,               0.009802,               0.009802
                      5,                 1.8079,                  1.082,                 1.0151,                0.70048,                0.52597,                0.63478,                0.38103,                 1.5785,                0.93538,                0.97284,               0.009736,               0.009736,               0.009736
                      6,                 1.7672,                 1.0427,                0.99995,                0.74574,                0.58716,                0.65727,                0.40034,                   1.55,                0.94611,                0.96348,                0.00967,                0.00967,                0.00967
                      7,                 1.7338,                 1.0133,                0.99191,                0.59623,                0.66759,                0.66653,                0.41002,                 1.5549,                 0.9008,                0.96302,               0.009604,               0.009604,               0.009604
                      8,                 1.7044,                0.99077,                0.98569,                0.74898,                0.67224,                0.70049,                 0.4338,                 1.5046,                0.87606,                0.95285,               0.009538,               0.009538,               0.009538
                      9,                 1.6553,                0.94923,                0.97349,                0.76471,                0.63341,                0.67246,                0.44774,                 1.4362,                0.85395,                0.93947,               0.009472,               0.009472,               0.009472
                     10,                 1.6418,                0.94765,                0.97907,                 0.7957,                 0.6477,                0.70672,                0.45844,                 1.4312,                 0.8345,                0.93876,               0.009406,               0.009406,               0.009406
                     11,                 1.6087,                0.91062,                0.96321,                0.72387,                0.58846,                 0.6816,                0.43945,                 1.4368,                0.83269,                0.93945,                0.00934,                0.00934,                0.00934
                     12,                  1.568,                0.89163,                0.96106,                0.77199,                0.63925,                 0.7003,                0.45146,                 1.4056,                0.80768,                0.93706,               0.009274,               0.009274,               0.009274
                     13,                 1.5691,                0.88428,                0.95568,                0.72578,                0.48763,                0.65347,                0.41925,                 1.3908,                0.81438,                0.93123,               0.009208,               0.009208,               0.009208
                     14,                 1.5576,                  0.874,                0.94851,                0.72076,                0.68727,                0.70827,                0.47713,                 1.3917,                0.80196,                0.92566,               0.009142,               0.009142,               0.009142
                     15,                 1.5495,                0.85452,                0.94222,                0.74653,                0.66126,                 0.7055,                0.44746,                 1.3735,                0.77662,                0.92305,               0.009076,               0.009076,               0.009076
                     16,                 1.5278,                0.84105,                0.93908,                0.82208,                0.55391,                0.73686,                0.46107,                 1.3678,                0.77326,                0.92547,                0.00901,                0.00901,                0.00901
                     17,                 1.5151,                0.84322,                 0.9401,                0.77759,                0.58165,                0.68088,                0.43095,                 1.3544,                0.78626,                0.92438,               0.008944,               0.008944,               0.008944
                     18,                 1.4871,                0.81845,                0.93579,                0.76339,                0.66343,                0.74124,                0.50319,                 1.3651,                0.76559,                0.91879,               0.008878,               0.008878,               0.008878
                     19,                  1.486,                0.82385,                0.93267,                 0.7829,                0.66427,                0.70921,                0.48985,                  1.329,                0.75291,                0.91704,               0.008812,               0.008812,               0.008812
                     20,                  1.488,                0.82481,                0.93324,                0.79833,                0.66974,                0.74169,                 0.5131,                 1.3292,                0.75171,                0.91596,               0.008746,               0.008746,               0.008746
                     21,                  1.489,                0.81914,                  0.928,                 0.7833,                0.69004,                0.73649,                0.49774,                 1.3534,                0.75721,                0.91736,                0.00868,                0.00868,                0.00868
                     22,                 1.4482,                0.78829,                0.92293,                 0.7678,                0.69726,                0.75909,                0.51557,                 1.2997,                0.72988,                0.91141,               0.008614,               0.008614,               0.008614
                     23,                 1.4765,                0.80908,                0.92424,                0.79103,                0.57717,                0.72908,                0.51055,                 1.2996,                0.74482,                0.90809,               0.008548,               0.008548,               0.008548
                     24,                 1.4442,                0.78369,                0.92133,                0.79656,                0.69365,                0.74786,                0.51295,                  1.318,                0.73454,                0.91027,               0.008482,               0.008482,               0.008482
